operator,trayek,kode,nama_trayek,lintasan,jumlah_kendaraan,jumlah_trayek
Perum PPD,Patas   ,P21,TERM. BLOK M - CIPUTAT,TERM BLOK M - JL. HASANUDIN - JL. FALATEHAN 2 - JL. P.POLIM - JL. FATMAWATI - JL. TB.  SIMATUPANG - JL. PS JUMAT - JL. CIPUTAT RAYA - TERM CIPUTAT,5,1
Perum PPD,Patas   ,P37,TERM. BLOK M - T.M. ANGKE,TERM BLOK M - JL. ADITYA. W - JL. W. WONGINSIDI - JL. GUNAWARMAN - JL. SENAPATI - JL.  SUDIRMAN - JL. GT. SUBROTO - JL. S. PARMAN - JL. LATUMENTEN - JL. JEMBATAN III / II - JL. PLUIT  PUTRA - TERM M. ANGKE,5,1
Perum PPD,Patas   ,P41,KP. RAMBUTAN - HARMONI,TERM KP RAMBUTAN - JL. TB. SIMATUPANG - TOL JAGORAWI - TOL DALAM KOTA - JL. MT. HARYONO -  JL. DR. SAHARDJO - JL. S. AGUNG - JL. CIK DIK TIRO - JL. MENTENG RAYA - JL. MERDEKA TIMUR - JL.  MEDEKA UTARA - JL. MAJAPAHIT - JL. HARMONI,27,1
Perum PPD,Patas   ,P45,TERM BLOK M - PERUMNAS TNG,TERM BLOK M - JL ADITIA W - JL W MONGONSIDI - JL GUNAWARMAN - JL SENOPATI -  JL SUDIRMAN - JL GT SUBROTO - JL S PARMAN - TOL KARAWACI TGR - PERUM PEMDA TGR - TERM  CIMONE / TGR - TOL KARAWACI/TGR - JL S PARMAN - JL GT SUBROTO - JL SUDIRMAN - JL S  MANGARAJA - TERM BLOK M,20,1
Perum PPD,Patas   ,P54,TERM GROGOL - DEPOK,TERM GROGOL - JL S PARMAN - JL GATOT SUBROTO - PANCORAN - JL RAYA PASAAR MINGGU - JL  RAYA LT AGUNG - JL MARGONDA RAYA - TERM DEPOK,20,1
Perum PPD,Patas   ,P67,TERM BLOK M - DR WAHIDIN,TERM BLOK M - JL. ADITIA .W - JL. W. MONGINSIDI - JL. GUNAWARMAN - JL. SENOPATI - JL.  SUDIRMAN - JL. IMAM BONJOL - JL. DIPONOGORO - JL. SALEMBA RAYA - JL. KRAMAT RAYA - JL.  SENEN RAYA - JL. DR. WAHIDIN,18,1
PT. Mayasari Bakti,Reguler,507,P.GADUNG - TNH.ABANG,TERM P.GADUNG - P.KEMERDEKAAN - SUPRAPTO - TN.TINGGI BRT - BENYAMIN.S - KEMAYORAN -  GARUDA - GN.SAHARI - BUDI UTOMO - BANTENG UTR - PERWIRA - MERDEKA TMR - R.RAIS -  MERDEKA SEL - B.KEMULYAAN - ABD.MUIS - FACHRUDIN - TNH.ABANG,14,1
PT. Mayasari Bakti,Reguler,51,P GADUNG - TG PRIOK,TERM P GADUNG - P KEMERDEKAAN - PENGILINGAN  - YOS SUDARSO - ENGGANO - TERM TG PRIOK,6,1
PT. Mayasari Bakti,Reguler,57,P GADUNG - BLOK M,TERM P GADUNG - JL. RAYA BEKASI - JL. PEMUDA - JL. A. YANI - JL. DI PANJAITAN - JL. MT. HARYONO -  JL. PANCORAN - JL. GATOT SUBROTO - JL. TEGAL PARANG - JL. KAPTEN TENDEAN - JL.  ,4,1
PT. Mayasari Bakti,Patas AC,AC02,KP RAMBUTAN - KL DERES,TERM KP. RAMBUTAN - TB SIMATUPANG - TOL JAGORAWI - TOL DALAM KOTA - KEL TOL SLIPI -  S.PARMAN - DAAN MOGOT - TERM KL DERES,14,1
